,Region,2021,2022,2023,2024,2025
0,AL & FL,729473,890386,777724,720843,632251
1,AR,1267810,1499841,1268857,1740706,1349264
2,AZ & NM,390998,394725,302874,339115,278895
3,CA,276935,323517,204697,285457,304939
4,GA,3278906,3697985,2790985,2903652,2636191
5,KS & OK,877471,516252,406675,541150,836921
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1193016,1394019,1087745,1434499,1062042
9,NC & VA,1111690,1383666,1150028,1275700,1088007
10,SC,438269,465227,340038,363603,294777
11,TN,1228919,1560133,1615480,1856494,1117039
12,TX,8972993,3801035,3680742,5615642,7441834
