,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720843,706146,9311,22328,75426,708,523,666,77323
1,AR,1739209,1582512,234410,53995,378328,1530,1069,781,381708
2,AZ & NM,339115,331915,119964,5064,153808,3950,2546,493,160797
3,CA,285457,285457,94338,3222,116393,3999,2668,1202,124262
4,GA,2890716,1949409,41518,138206,366513,9582,1251,1815,379161
5,KS & OK,541150,425132,3227,5299,24774,572,829,440,26615
6,LA,379254,379254,15030,7687,31126,295,825,549,32795
7,MO,388113,388113,56895,8253,74179,67,159,250,74655
8,MS,1423191,1104908,137781,113832,395692,5383,2369,904,404348
9,NC & VA,1269986,1002859,55141,87225,381925,4274,1705,1043,388947
10,SC,363353,321249,21344,20519,84193,355,194,333,85075
11,TN,1833001,1410500,278255,127031,544377,2672,734,2550,550333
12,TX,5577828,4025555,241075,176960,876467,22905,19479,21497,940348
13,--TOTAL,17751216,13913009,1308289,769621,3503201,56292,34351,32523,3626367
