,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,625908,599839,9718,68910,174385,1015,306,1062,176768
1,AR,1338556,1240091,120262,288404,629134,4392,151,1244,634921
2,AZ & NM,276273,271867,105025,38680,175060,7482,1641,1666,185849
3,CA,304939,304939,119629,15889,162118,24631,2798,1066,190613
4,GA,2530937,1798901,24518,342901,597710,22075,4126,2657,626568
5,KS & OK,821160,758647,73035,163161,341267,549,127,239,342182
6,LA,264630,264278,5596,30283,53174,276,105,542,54097
7,MO,320299,320299,50683,42241,136597,437,30,135,137199
8,MS,990227,699823,52679,175218,433067,1889,380,1726,437062
9,NC & VA,1071176,835971,27063,116055,385871,7199,2583,1899,397552
10,SC,293682,274169,3391,63187,128365,917,165,451,129898
11,TN,1015399,850589,178476,194792,574393,9539,1612,1686,587230
12,TX,6833590,5208086,425347,726132,2302657,79643,16445,31807,2430552
13,--TOTAL,16686776,13427499,1195422,2265853,6093798,160044,30469,46180,6330491
