,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,614973,599839,9988,144559,272089,1865,307,1066,275327
1,AR,1325464,1240091,129562,351715,805639,6240,162,1501,813542
2,AZ & NM,274166,271867,107901,68083,208626,10927,1641,1666,222860
3,CA,304939,304939,152738,24768,215389,25697,2805,3327,247218
4,GA,2401362,1798585,22580,614512,968548,26635,4897,2684,1002764
5,KS & OK,766468,721891,63662,188536,404524,878,139,416,405957
6,LA,264630,264278,5774,52273,96107,362,112,1240,97821
7,MO,320299,320299,51012,75506,183512,552,37,135,184236
8,MS,911306,699796,55402,167308,470056,2961,364,2734,476115
9,NC & VA,1010179,835179,24249,170399,464391,10442,2608,1993,479434
10,SC,291256,274018,1635,77261,174626,1353,166,489,176634
11,TN,980506,850535,207819,232459,685441,11642,1429,1736,700248
12,TX,6362754,5203965,488048,1054411,2957190,99113,17494,31932,3105729
13,--TOTAL,15828302,13385282,1320370,3221790,7906138,198667,32161,50919,8187885
