,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,0,0,0,19556,0,28794,397,1139,30330
1,AR,6758,6758,0,105283,6758,165282,339,1659,174038
2,AZ & NM,200,200,0,19606,200,108128,3062,2122,113512
3,CA,0,0,0,9564,0,74882,3296,3515,81693
4,GA,0,0,0,82596,0,167790,6352,2865,177007
5,KS & OK,0,0,0,422,0,5953,525,834,7312
6,LA,4838,4838,0,5365,4838,8313,135,1270,14556
7,MO,0,0,0,16885,0,31056,47,208,31311
8,MS,0,0,0,136257,0,170614,1520,3118,175252
9,NC & VA,1,1,0,114224,0,176471,3562,2624,182657
10,SC,4,0,0,17052,0,33368,331,527,34226
11,TN,34,34,4334,142995,34,277719,1586,2779,282118
12,TX,546887,542673,155107,265466,513311,526129,19992,40319,1099751
13,--TOTAL,558722,554504,159441,935271,525141,1774499,41144,62979,2403763
