,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,626436,599839,9648,60055,160919,905,306,1062,163192
1,AR,1338556,1240091,97743,294376,598124,4257,151,1244,603776
2,AZ & NM,276273,271867,102925,36968,168688,7482,1641,1666,179477
3,CA,304939,304939,111503,16920,153173,23750,2798,1066,180787
4,GA,2558864,1798901,25778,313480,558206,21048,4096,2656,586006
5,KS & OK,825248,759358,69275,168198,329763,456,127,239,330585
6,LA,264630,264278,5596,26324,47269,274,105,542,48190
7,MO,320299,320299,48373,43795,132196,437,24,129,132786
8,MS,1003540,699823,40007,171396,420473,1658,380,1462,423973
9,NC & VA,1073974,835971,24600,103912,365116,7073,2583,1899,376671
10,SC,293682,274169,3391,67327,123542,575,165,451,124733
11,TN,1024325,850589,175732,203181,550646,9455,1618,1692,563411
12,TX,6906542,5208086,375487,702504,2185311,76554,16336,30562,2308763
13,--TOTAL,16817308,13428210,1090058,2208436,5793426,153924,30330,44670,6022350
