,Region,2021,2022,2023,2024,2025
0,AL & FL,729473,890386,777724,720843,632421
1,AR,1267810,1499841,1268857,1740706,1349264
2,AZ & NM,390998,394725,302874,339115,278895
3,CA,276935,323517,204697,285457,304939
4,GA,3287269,3705279,2792489,2904408,2637249
5,KS & OK,877500,522128,406675,541150,836921
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1193172,1398520,1088355,1436294,1063356
9,NC & VA,1111798,1383753,1150116,1277733,1088268
10,SC,439070,465931,340038,363603,294777
11,TN,1231449,1563668,1615569,1858090,1117365
12,TX,8978832,3806720,3683290,5623553,7451882
